country,year,Control_of_Corruption,External_Debt_to_GNI,GDP_Growth,Government_Effectiveness,Rule_of_Law,Voice_and_Accountability,Treatment_Group,Criteria_1,Criteria_2
BFA,2009,-0.345606595277786,39.8899522491126,2.96195085866692,-0.617469727993011,-0.20417246222496,-0.289741963148117,0,0,0
BFA,2010,-0.356885224580765,49.0210269923812,8.44628157707625,-0.589095711708069,-0.194905057549477,-0.252949893474579,0,0,0
BFA,2011,-0.378650426864624,51.5649433752892,6.62256261306693,-0.568243741989136,-0.350398898124695,-0.280185431241989,0,0,0
BFA,2012,-0.482446640729904,60.7622601114067,6.45267237953146,-0.632368385791779,-0.425855100154877,-0.30497083067894,0,0,0
BFA,2013,-0.525527596473694,68.3909839730337,5.79258484509867,-0.670198976993561,-0.526729941368103,-0.255501538515091,0,0,0
BFA,2014,-0.466838806867599,77.2449730208755,4.32684561452976,-0.592531859874725,-0.545770764350891,-0.352606743574142,0,0,0
BFA,2015,-0.299044787883759,111.588257916983,3.9212287937935,-0.692133605480194,-0.541128635406494,-0.114221930503845,0,0,0
BFA,2016,-0.169877484440804,83.6087932611822,5.95797670754024,-0.638990938663483,-0.4552983045578,0.0134272389113903,0,0,0
BFA,2017,-0.138780206441879,94.0623582632253,6.20348941121868,-0.638492047786713,-0.414963334798813,0.0645605251193047,0,0,0
BFA,2018,-0.131607040762901,69.0408879007064,6.60456906812341,-0.644067406654358,-0.459257543087006,-0.0616534128785133,0,0,0
BFA,2019,-0.219493299722672,59.7621586121849,5.88920497068135,-0.7781862616539,-0.463833779096603,-0.208245500922203,0,0,0
BFA,2020,-0.122198514640331,57.0626555380148,2.01077262406221,-0.708106637001038,-0.468718588352203,-0.189439803361893,0,0,0
